Experiment_Name,PPG_state,VDD,VCC,ERASE_PROG,OUT1,OUT2,KGAIN1,KGAIN2,TRIM1,TRIM2,X2,IREFP,F11,F12,X1,IMEAS,OUT1_current,OUT2_current
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,0.0,5e-08,1.7335e-12,1.0975e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,0.0,5e-08,1.4845e-12,7.6495e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,0.0,5e-08,2.7355e-12,1.0675e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,0.0,5e-08,1.489e-12,1.2635e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,0.0,5e-08,2.126e-10,1.0295e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,0.0,5e-08,1.729e-12,1.409e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,0.0,5e-08,4.135e-10,8.482e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,0.0,5e-08,1.4925e-12,1.3095e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,0.0,5e-08,1.212e-09,6.3905e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,0.0,5e-08,1.4445e-12,6.4815e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4.9999999999999985e-09,5e-08,1.3775e-08,1.0915e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4.9999999999999985e-09,5e-08,7.1365e-06,4.2845e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4.9999999999999985e-09,5e-08,9.343e-06,5.5895e-10
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4.9999999999999985e-09,5e-08,7.2015e-06,5.6055e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4.9999999999999985e-09,5e-08,1.0835e-05,5.7425e-07
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4.9999999999999985e-09,5e-08,9.014e-06,1.019e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4.9999999999999985e-09,5e-08,2.345e-08,7.785e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4.9999999999999985e-09,5e-08,8.673e-06,7.8525e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4.9999999999999985e-09,5e-08,7.135e-08,8.6245e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4.9999999999999985e-09,5e-08,6.7605e-06,8.6295e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,9.999999999999997e-09,5e-08,6.615e-06,5.9245e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,9.999999999999997e-09,5e-08,1.1252e-05,2.545e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,9.999999999999997e-09,5e-08,2.205e-08,1.0685e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,9.999999999999997e-09,5e-08,1.121e-05,2.3025e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,9.999999999999997e-09,5e-08,2.9705e-08,1.0265e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,9.999999999999997e-09,5e-08,1.116e-05,2.7515e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,9.999999999999997e-09,5e-08,2.072e-07,8.113e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,9.999999999999997e-09,5e-08,1.178e-05,2.3375e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,9.999999999999997e-09,5e-08,1.382e-07,6.9185e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,9.999999999999997e-09,5e-08,3.2225e-06,7.756e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,1.5000000000000002e-08,5e-08,3.9895e-08,1.095e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,1.5000000000000002e-08,5e-08,1.1265e-05,2.7305e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,1.5000000000000002e-08,5e-08,7.21e-06,2.744e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,1.5000000000000002e-08,5e-08,1.142e-05,2.081e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,1.5000000000000002e-08,5e-08,8.0155e-06,9.459e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,1.5000000000000002e-08,5e-08,1.111e-05,2.38e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,1.5000000000000002e-08,5e-08,1.109e-05,3.2435e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,1.5000000000000002e-08,5e-08,1.108e-05,3.0905e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,1.5000000000000002e-08,5e-08,2.252e-07,7.293e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,1.5000000000000002e-08,5e-08,1.099e-05,1.876e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,2e-08,5e-08,1.37e-07,1.0965e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,2e-08,5e-08,1.114e-05,3.075e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,2e-08,5e-08,6.206e-08,1.039e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,2e-08,5e-08,1.113e-05,2.7415e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,2e-08,5e-08,7.4285e-08,1.009e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,2e-08,5e-08,1.1075e-05,3.031e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,2e-08,5e-08,1.2745e-07,8.994e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,2e-08,5e-08,1.29e-07,1.755e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,2e-08,5e-08,4.287e-07,7.625e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,2e-08,5e-08,1.14e-05,1.0935e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,2.5e-08,5e-08,1.8315e-07,1.081e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,2.5e-08,5e-08,1.1095e-05,2.7315e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,2.5e-08,5e-08,1.08e-05,1.053e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,2.5e-08,5e-08,1.105e-05,3.0685e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,2.5e-08,5e-08,1.1125e-07,1.0025e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,2.5e-08,5e-08,1.1025e-05,2.5555e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,2.5e-08,5e-08,1.105e-05,2.561e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,2.5e-08,5e-08,1.6315e-05,2.1025e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,2.5e-08,5e-08,3.514e-07,8.1915e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,2.5e-08,5e-08,1.1485e-05,1.265e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,3e-08,5e-08,7.085e-06,5.0365e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,3e-08,5e-08,1.125e-05,4.832e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3e-08,5e-08,1.3105e-07,1.011e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3e-08,5e-08,1.0945e-05,4.7785e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3e-08,5e-08,9.6995e-06,1.6585e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3e-08,5e-08,1.0815e-05,1.084e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3e-08,5e-08,8.805e-06,1.706e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3e-08,5e-08,1.0913e-05,3.591e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3e-08,5e-08,4.0645e-07,8.861e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3e-08,5e-08,1.2245e-05,8.765e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,3.4999999999999996e-08,5e-08,6.9985e-06,4.883e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,3.4999999999999996e-08,5e-08,8.39e-06,1.874e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3.4999999999999996e-08,5e-08,1.668e-07,9.922e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3.4999999999999996e-08,5e-08,1.075e-05,2.185e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3.4999999999999996e-08,5e-08,8.0545e-06,2.1225e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3.4999999999999996e-08,5e-08,1.1585e-05,2.0595e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3.4999999999999996e-08,5e-08,3.307e-07,9.6895e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3.4999999999999996e-08,5e-08,7.975e-06,1.257e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3.4999999999999996e-08,5e-08,4.475e-07,9.5225e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3.4999999999999996e-08,5e-08,7.38e-06,7.855e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4e-08,5e-08,7.09e-06,4.5685e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4e-08,5e-08,1.221e-05,1.0455e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4e-08,5e-08,3.5195e-07,9.7535e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4e-08,5e-08,8.19e-06,1.166e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4e-08,5e-08,8.5175e-06,2.2055e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4e-08,5e-08,9.785e-06,1.307e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4e-08,5e-08,8.1005e-06,1.6445e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4e-08,5e-08,1.3445e-05,9.095e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4e-08,5e-08,4.787e-07,9.495e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4e-08,5e-08,9.65e-06,7.569e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4.5e-08,5e-08,7.121e-06,4.313e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4.5e-08,5e-08,6.807e-06,1.1045e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4.5e-08,5e-08,8.494e-06,1.813e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4.5e-08,5e-08,9.575e-06,8.65e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4.5e-08,5e-08,8.119e-06,1.738e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4.5e-08,5e-08,9.925e-06,8.49e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4.5e-08,5e-08,7.9915e-06,1.752e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4.5e-08,5e-08,9.935e-06,8.855e-07
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4.5e-08,5e-08,5.1035e-07,9.4745e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4.5e-08,5e-08,8.415e-06,7.6165e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,5e-08,5e-08,9.289e-06,2.183e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,5e-08,5e-08,9.3845e-06,1.064e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,5e-08,5e-08,1.022e-05,1.03685e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,5e-08,5e-08,1.017e-05,2.6965e-07
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,5e-08,5e-08,1.035e-05,1.00415e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,5e-08,5e-08,9.875e-06,2.8265e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,5e-08,5e-08,9.42e-06,4.829e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,5e-08,5e-08,9.475e-06,5.3625e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,5e-08,5e-08,7.6145e-06,1.9195e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,5e-08,5e-08,1.0036e-05,6.75e-07
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,5.5e-08,5e-08,1.0335e-05,1.737e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,5.5e-08,5e-08,3.4895e-07,8.457e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,5.5e-08,5e-08,1.022e-05,1.03115e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,5.5e-08,5e-08,6.37e-07,8.4225e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,5.5e-08,5e-08,1.0465e-05,7.4845e-07
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,5.5e-08,5e-08,2.3285e-06,8.575e-10
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,5.5e-08,5e-08,7.0105e-06,5.093e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,5.5e-08,5e-08,6.115e-06,3.881e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,5.5e-08,5e-08,7.136e-06,9.4925e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,5.5e-08,5e-08,8.79e-06,1.574e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,6e-08,5e-08,8.5975e-06,2.979e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,6e-08,5e-08,8.66e-06,1.887e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,6e-08,5e-08,9.023e-06,2.8325e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,6e-08,5e-08,3.7925e-07,3.1095e-09
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,6e-08,5e-08,9.533e-06,1.7805e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,6e-08,5e-08,4.895e-07,2.1515e-09
